,Location,Name of Property,No of Baths,No of Beds,No of Guests,No of Reviews,No of bedrooms,Price,Reviews in Text,Stars
0,Woodland Hills,Mountain Log Home getaway with amazing views!!,1,2,3,56,1,28,"['This place is a steal! Extremely comfortable & unique space. We arrived late & left early so didn’t meet the hosts, but great communication otherwise. The king bed is adjustable! Comfortably warm in April as needed, amazing views & I highly recommend visiting the Krishna Temple n…Read more', ""Rebecca's place is a lovely home in a beautiful location high above the Salt Lake valley. The bedroom and bath are both spacious and clean. I only had the opportunity to stay for one night and had to leave early to get back on the road but think it would be a very nice place to s…Read more"", 'Please refer to previous comments', 'Nice room with a fantastic view, lots of places to hike, and super cute and friendly pets!  Thanks, Rebecca!', 'This was an excellent place! And for the price! My husband and I thoroughly enjoyed the amazing view, very comfy bed, large bath, all their beautiful plants, and use of the kitchen. It was a convenient stop for our trip through Utah, and the hosts were so accommodating with our l…Read more', 'The view from the bedroom is amazing! We drove in close to dusk and just needed a bed for one night. The bed was very comfortable. The house is still being worked on so you need to be aware of that. Hosts were both very friendly as was their little dog.', 'Beautiful place with incredible views! Our hosts made us feel like home - especially loved their dog. Very hospitable and would recommend this place to anyone!']",5
1,Payson,Two private bedrooms in cozy modern condo,1,3,4,6,2,25,"['This was a great stay for my mom and I. Both she and I are allergic to cats and Javier and his wife were very accommodating to make it so we could be comfortable. We read the booking beforehand and just asked about it and they were very polite in response. His wife offered great …Read more', 'We had a great stay for a week. Our hosts were friendly and they gave us our space, too. The bathroom was well stocked with anything we might have needed.', 'Javier and Nicole are incredible! Lots of options for entertainment, great location, amazing value, and welcoming environment.', 'Great! We arrived late and everything was ready for us!', 'Great place to stay! Clean and cute place! The shower is really nice and the hosts were really helpful and quick to reply!', 'Javier and his wife are great hosts. We had an amazing time at their place. Totally recommended!']",5
2,Provo,Private Master Suite near park and downtown,1,1,4,56,1,22,"['Excellent in every way. Very hospitable.nife touch.', 'This is my 3rd stay with Gilma so that pretty much tells you how outstanding and how much I love staying at her home.  This time I rented both rooms as my elderly parents joined me in visiting my daughter in Provo and it was perfect as we had the whole upper part of the house.  E…Read more', ""Thank you Michelle, I will truly miss you, I am glad that your daughter is graduating, but does mean that I won't see you again any time soon. Please come back again if the opportunity arrives. "", 'My parents and friends were really impressed with Gilma as a host, and my parents had a really good time and rest there.', 'Taradita, I truly enjoyed having your parents at my home they are adorable couple, tell them that they need to come back again. Thank you again for choosing my place.', 'Gilma was an amazing host--not only was her house spacious, clean, and in a great location, but she was also very kind and thoughtful. I would definitely recommend her to a friend any day!', 'Thank you Lina, it was very pleasant to have you in our home. Please come back again.', 'This was a perfect little oasis for me.  The bed was comfortable and I loved the colors and the thoughtful basket of bath items. I only spent two nights, of eight in the area there, and would love to have stayed the entire eight in this place.', 'Thank you Jill, I am glad that you enjoyed your stay in our place, please come back again.', ""The place was perfect. I can't wait to stay here again. Quiet, clean, close to BYU, free breakfast, welcoming hosts!"", 'Thank you Youjin!! I truly appreciate you for choosing our place I hope our place meet your expectations. Please come back again.', ""We had so much fun seeing Gilma and her husband again!  They are such great hosts!  We are returning guests, and plan to return many times in the future!  Gilma's place is clean, spacious, and comes with great friends!"", 'Thank you Katie!! I appreciate you and your daughter for choosing our place.\r\n\r\n']",5
3,Orem,King Bed near BYU & UVU,1,1,2,95,1,25,"['Great little one night stay.', ""Melissa's place is just right for a quick stay.  Everything you need."", 'Xbox and netflix!!!', 'Melissa is very kind and helpful.  Bed and bathroom are just right. Great venue for the price.', ""The bed was comfortable.  The TV was a nice touch but I  didn't have time to use it. I liked the ease of the keypad entry system.  Parking was available on the street but I had to park in front of their neighbor's house.  The wi-fi worked great. The biggest complaint was the loud…Read more"", 'Very convenient, comfortable and homey.', ""Melissa's hospitality was outstanding.""]",5
4,Provo,"House on the hill. Near BYU, UVU",1.5,2,3,72,2,30,"['It was a warm and cozy home. Great value and Bud was a great host. We will definitely stay again.', 'Friendly hosts. Quiet. Nice place to stay.', 'Quiet, clean and comfortable. Bud is an awesome host. Definitely recommend it.', 'Great quiet location in a Cul-de-sac on a hillside next to a mountain. This young couple were extremely quiet and friendly. This older two-story home was in a very safe, quiet neighborhood. It had kitchen access and a small upstairs room with side access to the bathroom. I was th…Read more', 'Nice, quiet location', 'Nice room in a convenient location.', 'Bud is very hospitable and the room was clean and comfortable with private access to the bathroom which was nice.  Located in a nice quiet neighborhood minutes from the freeway and shopping/ dining.']",5
5,Provo,West side retreat,1,1,4,17,1,35,"['A very comfortable cozy space- perfect for my needs while traveling to British Columbia.  The neighborhood was very quiet. Off street parking so no need to worry about leaving luggage in the car. Diana was a wonderful host. The bed was oh so comfortable. Would definitely stay aga…Read more', 'It was very cozy!  I loved the solitude.  And I absolutely loved the homeliness of this place and would definitely come through and stay here again.', 'This is a great space in a quiet neighborhood. It’s was VERY clean. Something I’m very  particular about. The hosts left some lite snacks and drinks for us which was very thought because often your starving when you get in. The bed was a dream and all the linens are upscale. Not …Read more', 'It was a great location close to downtown Provo. The cabin was clean and cozy. It was warm and comfortable. The WiFi was perfect. I look forward to staying there again when I’m in town.', 'The perfect place for a little getaway! Such an awesome use of the space. Definitely will stay here again in the future!', 'Diana gave us such good ideas about local attractions. This house is a fantastic use of space and very stylish. We definitely recommend staying here in the future!', 'Totally separate from the owner’s house, this place was perfect for what I needed. Way better than any hotel room. Easy for a short stay and surely sustainable for longer trips. Diana left me snacks and a greeting and left me to my business. Would definitely book again if I come …Read more']",5
6,Spanish Fork,Spanish Fork Townhome for Up to 3 Guests!,1,2,5,62,1,22,"['A wonderful experience! Great couple with two very cute and friendly cats. Quiet neighborhood with done amazing views of the mountains.', 'Very comfortable place. Wonderful communication made things easy. Close to freeway.', 'Comfortable beds and lovely gracious hosts.  We would definitely stay there again.', 'Great host. Clean comfortable room.', 'I had a quiet stay. The mattress was just right for me and I appreciated the nearness of bathroom and that it is dedicated to guests. Hosts were friendly, accommodating and also respectful of privacy.', 'Thank so much for letting us know about the sheets.', 'Great place, great value.', 'Perfect place for a couple, with the two beds. Very accommodating folks who take care of all your needs.']",5
7,Spanish Fork,Log Cabin on 17 Acre Farm,1,5,10,131,3,85,"['It was a lot of fun staying here. Brent and Kayleen are very hospitable and really go out of their way to make you feel welcome and at home.', 'Outstanding hospitality and home feeling. Mama K made us feel like one of her family right away. Location was perfect for the color fest less than mile away from the krishna temple where the event was happening. 5+ star rating', 'I have stayed at several airbnb properties and this was by far our favorite. I can’t say enough about Brent, Kayleen and their family. They accommodated us on short notice and even allowed our pups to join us. They went out of their way to make us feel at home, including inviting…Read more', 'I have stayed in many Airbnb’s in several countries with amazing hosts, by far Mama and Papa K were the best!  Highly recommended to everyone!', 'Nice little ranch with a lot of fun outdoor amenities. Trampolines 5. Giant and small rope swings. Batting cage for spring and summer.  Big horse walker tire swing.  Horses available to ride.', 'We weren’t able to stay very long since we were just passing through on a road trip but I can’t say enough about Brent and Kathleen’s home such an amazing place on a unique piece of property. We loved the large gathering room with the pool table and popcorn machine. We will defin…Read more', 'Brent and Kayleen were incredible hosts and their cabin was so nice and homey. They have many animals and all are friendly. Flower the skunk stole the show! We look forward to going back there again!']",5
8,Orem,Luxurious Cal-King Bedroom,1,2,4,0,1,19,[],4.5
9,"Orem, Utah, US",Cozy place with amazing mountains,1,2,4,71,1,60,"['Cynthia was quick in responding.  The Barn was cute!', 'This place was the perfect private little getaway with my soulmate! (Website hidden by Airbnb) It was really clean and tidy. Rustic/hip with a beautiful use of space and a terrific view of the mountain sunrise!   If you have a chance to stay here DO IT! 10/10 worth it!', 'Fantastic place, quiet neighborhood, great hosts.', 'This is a cute, spotless little space that was perfect for 2 people. We’ll happily stay here again.', 'Great place for a short and sweet trip. Loved the stay, Cynthia was extremely helpful. Will stay again next time we are around Orem.', 'Awesome place that I would certainly stay at again !\nView out back of the mountains was ?', 'Great clean place to stay. This place was in a good location with plenty of what you need around.']",5
